,ForecastCurrent
1182,338.375
1183,289.958344
1184,336.208344
1185,303.125
1186,317.166656
1187,311.083344
1188,317.083344
1189,306.916656
1190,199.666672
1191,129.75
1192,183.25
1193,240.0
1194,273.916656
1195,291.5
1196,346.5
1197,317.583344
1198,291.208344
1199,187.5
1200,182.75
1201,146.791672
1202,116.333336
1203,182.208328
1204,187.416672
1205,286.541656
1206,304.791656
1207,339.333344
1208,327.791656
1209,350.25
1210,348.125
1211,351.333344
1212,352.916656
1213,357.958344
1214,354.583344
1215,361.958344
1216,359.0
1217,360.5
1218,359.166656
1219,253.333328
1220,358.333344
1221,330.666656
1222,290.166656
1223,350.333344
1224,329.416656
1225,357.625
1226,280.541656
1227,347.166656
1228,354.041656
1229,344.333344
1230,349.083344
1231,353.5
1232,349.125
1233,350.625
1234,353.458344
1235,349.125
1236,304.583344
1237,305.916656
1238,333.25
1239,337.916656
1240,337.166656
1241,346.208344
1242,355.041656
1243,352.25
1244,349.958344
1245,353.166656
1246,285.583344
1247,256.0
1248,347.25
1249,358.166656
1250,348.25
1251,347.0
1252,354.958344
1253,348.625
1254,342.625
1255,355.541656
1256,348.333344
1257,349.333344
1258,347.875
1259,357.708344
1260,351.333344
1261,350.5
1262,338.0
1263,347.416656
1264,343.375
1265,340.75
1266,347.708344
1267,341.041656
1268,329.083344
1269,343.833344
1270,347.833344
1271,337.875
1272,338.125
1273,350.791656
1274,340.708344
1275,334.416656
1276,333.916656
1277,337.375
1278,337.916656
1279,331.583344
1280,225.291672
1281,323.666656
1282,180.75
1283,237.208328
1284,192.916672
1285,178.791672
1286,201.166672
1287,339.75
1288,341.541656
1289,351.291656
1290,342.708344
1291,349.875
1292,352.166656
1293,349.208344
1294,352.458344
1295,349.583344
1296,347.541656
1297,351.166656
1298,342.25
1299,244.166672
1300,229.416672
1301,190.166672
1302,210.375
1303,130.208328
1304,75.708336
1305,68.0
1306,39.333332
1307,49.791668
1308,59.291668
1309,43.833332
1310,85.333336
1311,93.458336
1312,282.166656
1313,280.041656
1314,306.458344
1315,315.666656
1316,322.166656
1317,276.125
1318,306.041656
1319,261.875
1320,338.458344
1321,339.583344
1322,345.625
1323,348.25
1324,357.666656
1325,352.791656
1326,353.375
1327,357.125
1328,349.541656
1329,354.416656
1330,361.208344
1331,356.833344
1332,356.208344
1333,354.625
1334,344.708344
1335,351.0
1336,341.166656
1337,335.75
1338,347.25
1339,352.25
1340,302.916656
1341,310.458344
1342,251.5
1343,307.708344
1344,255.958328
1345,280.208344
1346,255.916672
1347,221.5
1348,214.416672
1349,190.666672
1350,151.125
1351,146.666672
1352,141.833328
1353,161.0
1354,216.625
1355,138.25
1356,152.5
1357,93.208336
1358,85.458336
1359,97.708336
1360,111.291664
1361,111.625
1362,98.25
1363,33.916668
1364,40.375
1365,63.875
1366,17.666666
1367,22.041666
1368,25.375
1369,9.541667
1370,38.0
1371,42.791668
1372,35.625
1373,59.5
1374,43.5
1375,113.083336
1376,148.583328
1377,118.708336
1378,101.041664
1379,74.541664
1380,59.25
1381,42.833332
1382,14.041667
1383,10.333333
1384,4.291667
1385,1.708333
1386,0.708333
1387,1.583333
1388,3.166667
1389,19.583334
1390,50.083332
1391,88.916664
1392,120.875
1393,188.958328
1394,206.916672
1395,208.958328
1396,216.708328
1397,302.541656
1398,334.583344
1399,358.958344
1400,336.291656
1401,355.291656
1402,348.291656
1403,350.75
1404,326.458344
1405,320.333344
1406,218.875
1407,191.791672
1408,127.583336
1409,94.041664
1410,81.583336
1411,96.791664
1412,256.791656
1413,210.708328
1414,289.166656
1415,338.916656
1416,349.583344
1417,348.25
1418,347.5
1419,342.0
1420,337.25
1421,327.083344
1422,311.916656
1423,298.25
1424,274.958344
1425,278.5
1426,270.75
1427,249.583328
1428,240.291672
1429,255.166672
1430,291.791656
1431,310.166656
1432,321.333344
1433,321.541656
1434,331.791656
1435,324.041656
1436,308.375
1437,310.25
1438,181.333328
1439,139.333328
1440,105.708336
1441,87.5
1442,74.625
1443,73.083336
1444,63.625
1445,68.916664
1446,69.083336
1447,31.416666
1448,45.875
1449,22.875
1450,27.416666
1451,14.875
1452,16.166666
1453,2.625
1454,18.083334
1455,11.416667
1456,16.208334
1457,49.291668
1458,75.666664
