,Price for consumption [EUR/MWh] - MBA|DK2
1301,36.04
1302,34.73
1303,34.0
1304,34.0
1305,35.75
1306,38.58
1307,37.97
1308,37.67
1309,36.1
1310,35.39
1311,35.86
1312,38.0
1313,37.7
1314,37.8
1315,43.3
1316,43.3
1317,43.3
1318,43.3
1319,42.9
1320,42.9
1321,42.6
1322,42.3
1323,42.1
1324,41.9
1325,43.6
1326,46.48
1327,64.1
1328,40.86
1329,40.86
1330,53.48
1331,41.85
1332,41.07
1333,42.5
1334,43.3
1335,44.8
1336,39.0
1337,39.0
1338,39.33
1339,39.0
1340,38.0
1341,37.0
1342,35.8
1343,35.75
1344,41.07
1345,41.07
1346,42.0
1347,42.0
1348,41.07
1349,37.48
1350,37.6
1351,38.6
1352,40.05
1353,40.05
1354,57.12
1355,38.6
1356,37.48
1357,35.43
1358,36.97
1359,37.5
1360,36.97
1361,36.97
1362,36.97
1363,35.94
1364,34.91
1365,34.91
1366,34.0
1367,30.8
1368,34.74
1369,34.74
1370,34.74
1371,34.74
1372,34.74
1373,35.76
1374,37.0
1375,39.0
1376,39.0
1377,38.32
1378,38.32
1379,38.32
1380,41.38
1381,41.38
1382,42.8
1383,42.8
1384,42.59
1385,43.34
1386,43.42
1387,42.56
1388,41.32
1389,41.23
1390,36.27
1391,35.0
1392,34.05
1393,30.41
1394,29.8
1395,27.61
1396,28.96
1397,33.95
1398,37.56
1399,38.2
1400,40.13
1401,37.6
1402,36.53
1403,35.8
1404,34.47
1405,34.0
1406,34.0
1407,35.3
1408,36.02
1409,37.56
1410,50.96
1411,50.97
1412,48.88
1413,45.52
1414,43.21
1415,37.56
1416,41.46
1417,38.03
1418,38.03
1419,38.03
1420,39.0
1421,39.0
1422,41.0
1423,42.0
1424,42.0
1425,42.0
1426,43.68
1427,43.37
1428,43.16
1429,43.12
1430,46.91
1431,41.62
1432,41.62
1433,63.66
1434,78.93
1435,78.76
1436,79.74
1437,63.0
1438,60.31
1439,40.08
1440,39.06
1441,39.3
1442,42.3
1443,42.3
1444,39.59
1445,39.97
1446,38.04
1447,38.04
1448,47.29
1449,48.83
1450,51.4
1451,80.42
1452,43.9
1453,40.21
1454,37.01
1455,37.01
1456,38.04
1457,43.78
1458,44.88
1459,40.61
1460,36.1
1461,32.07
1462,30.52
1463,25.34
1464,31.0
1465,-10.72
1466,-18.76
1467,-18.76
1468,-17.42
1469,30.0
1470,-11.93
1471,-16.08
1472,33.0
1473,41.03
1474,42.7
1475,42.7
1476,42.7
1477,42.7
1478,42.7
1479,45.0
1480,44.2
1481,45.0
1482,46.02
1483,46.02
1484,46.02
1485,41.62
1486,40.94
1487,40.32
1488,0.11
1489,-0.21
1490,-6.86
1491,-7.0
1492,-2.47
1493,6.24
1494,43.46
1495,46.02
1496,49.09
1497,49.09
1498,51.13
1499,51.13
1500,48.06
1501,48.06
1502,49.09
1503,49.09
1504,47.55
1505,46.92
1506,49.09
1507,49.09
1508,49.09
1509,47.04
1510,46.02
1511,0.0
1512,0.0
1513,0.0
1514,-4.95
1515,-1.92
1516,-2.23
1517,44.56
1518,44.56
1519,50.19
1520,53.0
1521,53.2
1522,53.61
1523,53.0
1524,49.17
1525,46.61
1526,47.63
1527,48.0
1528,47.12
1529,49.27
1530,55.01
1531,52.57
1532,47.74
1533,46.41
1534,44.75
1535,46.0
1536,46.3
1537,46.3
1538,45.5
1539,44.89
1540,45.7
1541,49.3
1542,49.0
1543,80.28
1544,54.07
1545,54.58
1546,54.58
1547,53.56
1548,53.05
1549,48.97
1550,48.97
1551,48.97
1552,48.97
1553,48.97
1554,47.95
1555,47.95
1556,43.99
1557,43.03
1558,42.22
1559,42.0
1560,41.5
1561,41.5
1562,41.0
1563,38.05
1564,41.8
1565,46.44
1566,48.37
1567,47.02
1568,47.88
1569,43.5
1570,43.79
1571,43.28
1572,48.88
1573,48.88
1574,41.75
1575,41.75
1576,41.75
1577,44.7
1578,45.02
1579,45.01
1580,41.68
1581,41.65
1582,41.5
1583,21.15
1584,43.5
1585,43.5
1586,43.5
1587,43.86
1588,42.0
1589,38.03
1590,40.78
1591,42.3
1592,42.06
1593,40.8
1594,40.8
1595,40.8
1596,23.35
1597,23.48
1598,25.38
1599,33.71
1600,37.23
1601,40.5
1602,47.94
1603,49.98
1604,49.26
1605,47.94
1606,44.5
1607,42.83
1608,42.5
1609,37.3
1610,41.0
1611,41.0
1612,40.5
1613,40.5
1614,19.51
1615,40.22
1616,10.05
1617,41.8
1618,41.8
1619,11.03
1620,1.32
1621,0.04
1622,-0.08
1623,39.5
1624,41.41
1625,42.5
1626,48.17
1627,46.0
1628,21.62
1629,11.96
1630,13.37
1631,0.72
1632,-10.05
1633,-13.27
1634,-12.55
1635,43.0
1636,43.0
1637,42.9
1638,42.9
1639,42.9
1640,42.9
1641,42.9
1642,39.9
1643,40.17
1644,38.76
1645,38.9
1646,39.78
1647,39.27
1648,40.6
1649,40.56
1650,40.56
1651,46.0
1652,40.05
1653,38.53
1654,39.6
1655,38.11
1656,40.78
1657,38.35
1658,38.03
1659,40.05
1660,40.05
1661,43.96
1662,45.63
1663,47.96
1664,43.1
1665,43.1
1666,43.2
1667,42.59
1668,42.08
1669,41.07
1670,40.56
1671,37.52
1672,38.53
1673,39.5
1674,41.0
1675,41.58
1676,41.07
1677,41.07
1678,42.08
1679,40.2
1680,40.6
1681,42.23
1682,42.16
1683,44.5
1684,44.5
1685,44.5
1686,46.83
1687,52.05
1688,46.0
1689,42.0
1690,43.0
1691,44.03
1692,44.03
1693,44.03
1694,44.96
1695,48.64
1696,49.15
1697,47.9
1698,45.1
1699,42.5
1700,33.01
1701,37.0
1702,23.87
1703,0.36
1704,10.05
1705,22.54
1706,26.4
1707,22.57
1708,26.6
1709,36.8
1710,42.13
1711,43.69
1712,41.4
1713,41.4
1714,43.82
1715,45.0
1716,45.0
1717,42.96
1718,42.9
1719,42.9
1720,43.13
1721,41.54
1722,41.54
1723,41.54
1724,39.9
1725,39.5
1726,39.16
1727,43.08
1728,44.72
1729,43.6
1730,42.5
1731,42.5
1732,42.5
1733,42.5
1734,41.89
1735,46.78
1736,49.0
1737,49.0
1738,50.0
1739,50.0
1740,46.78
1741,45.75
1742,46.26
1743,47.29
1744,47.29
1745,50.37
1746,51.4
1747,51.4
1748,50.4
1749,49.35
1750,46.78
1751,45.5
1752,43.0
1753,35.98
1754,35.98
1755,42.0
1756,42.14
1757,42.09
1758,43.12
1759,48.31
1760,51.0
1761,50.0
1762,47.28
1763,44.23
1764,45.23
1765,45.23
1766,45.23
1767,43.02
1768,39.5
1769,39.5
1770,43.71
1771,42.94
1772,32.06
1773,17.19
1774,0.07
1775,10.79
1776,5.07
1777,-2.36
1778,0.01
1779,-1.96
1780,2.02
1781,2.33
1782,9.97
1783,21.59
1784,42.88
1785,42.38
1786,42.38
1787,43.42
1788,44.45
1789,44.45
1790,43.93
1791,44.3
1792,44.3
1793,44.3
1794,43.93
1795,43.93
1796,43.93
1797,37.73
1798,37.73
1799,-17.42
1800,-2.3
1801,-3.34
1802,-9.33
1803,-13.53
1804,-6.23
1805,-30.82
1806,-11.37
1807,-6.61
1808,-2.41
1809,1.81
1810,2.6
1811,-0.88
1812,-12.06
1813,-10.12
1814,-13.48
1815,-2.32
1816,-2.29
1817,10.52
1818,43.0
1819,43.0
1820,41.67
1821,41.5
1822,42.6
1823,17.22
1824,43.0
1825,-26.26
1826,14.27
1827,14.45
1828,6.03
1829,22.51
1830,42.64
1831,44.91
1832,39.81
1833,38.78
1834,38.78
1835,38.78
1836,38.78
1837,38.9
1838,39.2
1839,39.2
1840,42.19
1841,43.04
1842,44.65
1843,45.03
1844,44.25
1845,47.05
1846,44.46
1847,36.71
1848,35.67
1849,35.67
1850,35.67
1851,35.47
1852,38.77
1853,39.8
1854,40.2
1855,40.2
1856,39.8
1857,39.28
1858,38.77
1859,38.6
1860,38.6
1861,38.6
1862,37.22
1863,36.8
1864,38.25
1865,39.3
1866,43.94
1867,67.0
1868,40.2
1869,38.0
1870,37.73
1871,34.0
1872,34.1
1873,32.01
1874,30.97
1875,30.97
1876,32.01
1877,36.14
1878,37.68
1879,38.72
1880,39.75
1881,38.2
1882,38.2
1883,42.85
1884,42.85
1885,40.93
1886,35.9
1887,36.0
1888,37.5
1889,39.75
1890,48.94
1891,50.07
1892,48.0
1893,43.13
1894,42.97
1895,36.65
1896,29.94
1897,27.87
1898,25.81
1899,25.81
1900,25.81
1901,31.0
1902,34.07
1903,35.8
1904,37.0
1905,35.2
1906,34.0
1907,33.03
1908,33.03
1909,33.55
1910,34.58
1911,35.9
1912,36.65
1913,36.65
1914,37.16
1915,38.19
1916,40.99
1917,52.93
1918,41.94
1919,39.28
1920,33.77
1921,33.77
1922,33.77
1923,41.56
1924,42.6
1925,42.3
1926,54.61
1927,50.98
1928,40.5
1929,40.5
1930,41.73
1931,40.59
1932,42.3
1933,42.3
1934,41.04
1935,41.04
1936,41.04
1937,44.05
1938,46.91
1939,40.76
1940,40.22
1941,36.5
1942,34.7
1943,31.17
1944,32.46
1945,32.4
1946,32.16
1947,32.16
1948,33.05
1949,34.6
1950,33.2
1951,34.2
1952,42.53
1953,43.5
1954,42.02
1955,31.95
1956,38.9
1957,29.06
1958,28.25
1959,18.0
1960,31.38
1961,35.5
1962,35.79
1963,44.61
1964,44.61
1965,43.05
1966,43.05
1967,39.42
1968,33.08
1969,23.86
1970,23.86
1971,25.33
1972,27.0
1973,28.94
1974,28.94
1975,28.94
1976,33.0
1977,33.08
1978,33.08
1979,32.01
1980,31.1
1981,25.54
1982,-13.07
1983,-13.07
1984,0.0
1985,34.85
1986,41.35
1987,44.45
1988,44.45
1989,41.86
1990,34.47
1991,28.4
1992,24.34
1993,22.5
1994,23.01
1995,20.89
1996,21.57
1997,28.97
1998,36.18
1999,36.0
2000,76.79
2001,36.7
2002,35.66
2003,35.66
2004,35.66
2005,35.73
2006,35.4
2007,35.3
2008,39.5
2009,40.35
2010,41.71
2011,70.24
2012,42.35
2013,35.66
2014,35.0
2015,24.0
2016,24.0
2017,24.0
2018,24.0
2019,24.0
2020,15.3
2021,15.3
2022,30.0
2023,35.7
2024,37.0
2025,-10.72
2026,32.54
2027,32.58
2028,36.76
2029,36.76
2030,35.2
2031,35.72
2032,35.72
2033,36.5
2034,36.76
2035,49.4
2036,87.08
2037,43.37
2038,42.28
2039,34.68
2040,33.69
2041,18.0
2042,18.0
2043,18.0
2044,32.4
2045,32.4
2046,34.3
2047,35.3
2048,36.28
2049,36.9
2050,36.28
2051,35.25
2052,35.25
2053,36.28
2054,33.7
2055,33.7
2056,33.7
2057,35.25
2058,36.7
2059,47.91
2060,43.99
2061,41.22
2062,40.83
2063,34.73
2064,41.0
2065,41.0
2066,38.17
2067,37.14
2068,33.12
2069,36.67
2070,44.48
2071,36.15
2072,36.15
2073,37.1
2074,48.04
2075,86.15
2076,50.15
2077,36.0
2078,34.2
2079,34.1
2080,35.08
2081,35.59
2082,34.56
2083,35.0
2084,35.59
2085,46.66
2086,34.56
2087,34.56
2088,29.79
2089,23.12
2090,20.55
2091,20.55
2092,26.71
2093,31.7
2094,27.74
2095,31.9
2096,34.7
2097,34.42
2098,32.88
2099,31.7
2100,31.3
2101,32.87
2102,32.4
2103,38.53
2104,38.53
2105,35.45
2106,34.93
2107,35.33
2108,34.93
2109,34.93
2110,35.45
2111,33.39
2112,33.04
2113,37.3
