Forward price,Forward bid,Power sold,Power bought,hydrogen scheduled,lambda_DW,lambda_UP,E_real,E_forecast
53.82,6.17031821500929,0.47010628370523566,0.0,2.2455171458478107,53.82,53.82,8.885941644562333,E_forecast[209]
55.94,5.895834631878533,0.7216634784181695,0.0,2.188867937448654,55.94,55.94,8.806366047745357,E_forecast[210]
54.19,5.592483968302729,0.03248849767391704,0.0,2.3060620167819765,54.19,54.19,7.931034482758621,E_forecast[211]
49.63,5.16199802627761,0.0,2.2136971701362302,2.5689405231689655,54.19,49.63,5.517241379310345,E_forecast[212]
48.09,4.547710025581822,0.0,3.370427001646383,2.721921220096391,52.98,48.09,3.8992042440318304,E_forecast[213]
48.09,3.889606151252206,0.0,3.1712948232736666,2.8095401309074024,51.68,48.09,3.5278514588859418,E_forecast[214]
54.0,3.513670265820866,0.0,2.762735719258356,2.5912405197504875,54.0,50.96,3.3421750663129974,E_forecast[215]
52.8,3.3115970039020404,0.0,2.9592897525894277,2.67156542773248,52.8,49.96,3.0238726790450925,E_forecast[216]
52.5,2.171939595452659,0.0,3.045812688029049,2.8367378140618014,52.5,50.51,1.9628647214854111,E_forecast[217]
53.5,1.3558600503433509,0.0,3.036421661254658,2.900720762104941,53.5,49.98,1.220159151193634,E_forecast[218]
53.5,1.1753501704246645,0.0,2.641217791307641,2.9247535625275387,53.5,49.55,1.4588859416445623,E_forecast[219]
51.48,1.0283032726399182,0.0,3.081821355399047,3.034950443501834,51.48,49.98,0.9814323607427056,E_forecast[220]
51.44,0.6740167324330941,0.0,3.0417659427051356,3.0839295816248264,51.44,49.94,0.7161803713527852,E_forecast[221]
53.0,0.4796818092912156,0.0,2.882737914956264,3.0396608802008576,53.0,49.8,0.636604774535809,E_forecast[222]
59.0,0.412841126601475,0.0,2.4840011361045025,2.7873403808558126,59.0,56.97,0.7161803713527852,E_forecast[223]
90.0,0.5692513568091256,0.0,1.5394038994490118,1.6332825161146873,90.0,72.6,0.6631299734748011,E_forecast[224]
90.0,0.46922575545911394,0.0,1.4526955487418904,1.6465997667575776,90.0,81.17,0.6631299734748011,E_forecast[225]
81.79,0.3104240213269692,0.0,1.4472339103439285,1.9325658571867206,81.79,81.79,0.7957559681697612,E_forecast[226]
71.45,0.15605006671338406,0.0,2.0544826510590006,2.3228357673694893,81.15,71.45,0.42440318302387264,E_forecast[227]
71.56,0.15732960283479086,0.0,2.4758495505955556,2.3185199477607648,80.0,71.56,0.0,E_forecast[228]
76.39,0.16341769602909562,0.0,2.30360514687739,2.1401874508482943,76.39,76.39,0.0,E_forecast[229]
75.0,0.16332710579292986,0.0,2.3537125826947163,2.1903854769017865,75.0,75.0,0.0,E_forecast[230]
76.06,0.2282759134190503,0.0,2.3716769015406793,2.143400988121629,76.06,76.06,0.0,E_forecast[231]
75.4,0.3567282014666031,0.0,2.506847845483408,2.1501196440168053,75.4,75.4,0.0,E_forecast[232]
76.78,0.5236664848493309,0.0,2.522365402138758,2.078274514106403,76.78,76.78,0.07957559681697612,E_forecast[233]
83.45,0.785868891079595,0.0,2.148609706086928,1.8136691969701975,83.45,83.45,0.45092838196286467,E_forecast[234]
85.15,0.9968589762761471,0.0,1.7451462301460612,1.7297196146126197,85.15,85.15,0.9814323607427056,E_forecast[235]
78.16,1.153064038035244,0.0,1.6928053752979126,1.9455768810292469,78.16,78.16,1.4058355437665782,E_forecast[236]
49.11,1.3590779507862212,0.0,2.203631262569507,3.0991952215976095,71.92,49.11,2.2546419098143238,E_forecast[237]
